sale_date,maker_id,maker_name,type,city_maker,auction_house,sale_date.1,lot,usd,gbp,eur,bold_currency,Year,Month,Day,cpi_usd,cpi_gbp,cpi_eur,gbp_usd_x,eur_usd,price_usd_real,SP500_real,SP500_30d_ret,SP500_90d_ret,SP500_252d_ret,SP500_vol_30d,SP500_vol_90d,SP500_vol_252d,SP500_ma50,SP500_ma200,SP500_trend_ratio,gbp_usd_y,gbp_90d_change,gbp_vol_30d,10y_yield_pc,10y_yield_90d_change,MCI,real_price_gold,country_iso1,admin1_name,admin2_name,candidate_count,is_ambiguous,maker_name_maker,role,date,maker_last_name,birth_cent,location_filled
2006-02-16,673,"Sennett, F. A.",Violin,"Dallas, TX",Tarisio,2006-02-16,286,705.5038349270257,248.0,363.0,usd,2006,2,16,0.6109109244524246,0.5892725936811168,0.6602301691511547,1.7353,1.1906,705.5038349270257,2110.5859353203045,0.0104631576482692,0.0808801053710333,0.0283105529577039,0.0989080960169464,0.1025049061663145,0.1049346735721257,2088.628446408037,2027.6152304687985,1.030091121344128,1.7353,-0.0097015351252638,0.0051337561005109,4.59,0.0010999999999999,-1.2717571443402598,893.4199,US,Texas,Dallas County,1.0,False,"Sennett, F. A.",Violin maker,d. 1928,Sennett,20.0,False
1991-03-14,192,"Gagliano, Giuseppe",Violin,Naples,Sotheby's,1991-03-14,77,20410.0,26036.521739130432,,gbp,1991,3,14,0.4150627820889648,0.4224834680382072,,1.8555,,48310.76608695652,899.8638666666667,0.0923508531079317,0.187045030478923,0.0532433883095659,0.1608605605164678,0.1602963413205745,0.1655855176283512,842.3960275345885,822.0182451202286,1.0247899393174411,1.8555,-0.054859413202934,0.0052989058478506,8.02,-0.0056,3.4655007799335937,878.6623,IT,Campania,Napoli,14.0,True,"Gagliano, Giuseppe",Violin maker,1742-1820,Gagliano,18.0,False
2021-06-02,149,"Darte, Jean-Auguste",Violin,Mirecourt,Vichy-Enchères,2021-06-02,57,6356.0,4486.0,6260.72200557103,eur,2021,6,2,0.8353399825366178,0.8185157972079354,0.8318529389047656,1.4165,1.2211,7644.967641002786,5037.613672470219,0.0003103551534568,0.0546668525019906,0.2960340384043931,0.1319806616741284,0.142664137517205,0.1710110018657627,5011.477257350961,4638.90158817327,1.080315493246841,1.4165,0.0324344023323615,0.00382701130442,1.59,0.0055,0.8394672612070361,2284.0329,FR,Grand Est,Vosges,2.0,True,"Darte, Jean-Auguste",Violin maker,1830-1892,Darte,19.0,False
2010-03-09,1292,"Tubbs, James",Violin Bow,London,Sotheby's,2010-03-09,38,22505.0,22835.57046979865,16600.0,gbp,2010,3,9,0.6691150246578038,0.65686994856723,0.7172317911485286,1.4985,1.3597,34219.102348993285,1704.4153981673323,0.0353061556132308,0.0652810585198886,0.647609398720947,0.1575186834501604,0.1606219788568443,0.2258025832380528,1667.254964678178,1567.1132500148256,1.0639020279245326,1.4985,-0.0950540491575577,0.0060929347881882,3.71,0.0020999999999999,2.5777177934212725,1673.4044,GB,England,Greater London,,False,"Tubbs, James",Bow maker,1835-1921,Tubbs,19.0,True
1995-10-31,504,"Ouchard, Émile François",Violin Bow,Mirecourt,Sotheby's,1995-10-31,54,23631.0,30323.32339791356,,gbp,1995,10,31,0.4725566637561029,0.4930198383541513,,1.5809,,47938.141959761546,1230.540260247235,-0.0078597812385666,0.0495715266699967,0.2090999680984038,0.0761401630887631,0.0755717973365093,0.0808567777230855,1224.6902915746657,1138.3362600846774,1.0758598619036914,1.5809,-0.0018940589683692,0.0037186949863918,6.03,-0.0012,4.381722648667788,809.2151,FR,Grand Est,Vosges,2.0,True,"Ouchard, Émile François",Bow maker,1872-1951,Ouchard,19.0,False
2014-10-29,165,"Dollenz, Giovanni",Cello,Trieste,Tarisio,2014-10-29,29,123792.0,104284.4155844156,96917.0,gbp,2014,10,29,0.7299970484424384,0.7354886113152094,0.772843129682552,1.6149,1.2632,168408.90272727274,2715.490498294025,-0.00713303383679,0.013903702775623,0.1003967375268075,0.1677713423453878,0.1188878132519041,0.1112233073176084,2691.3677867689885,2620.24566287038,1.0271433037391986,1.6149,-0.048435566554711,0.0041495101831849,2.34,-0.0023,-0.4164931700010697,1659.6505,IT,Friuli Venezia Giulia,Trieste,8.0,True,"Dollenz, Giovanni",Violin maker,1802-1857,Dollenz,19.0,False
1989-04-13,1626,"Hill & Sons, W. E. Firm",Violin Bow,London,Phillip's,1989-04-13,132,993.0,1576.6039603960396,,gbp,1989,4,13,0.3784757664826042,0.3710506980161646,,1.7007,,2681.3303554455447,783.1412738815543,0.0256479054371832,0.0674357839418289,0.0854791259569971,0.1103789961242008,0.1115019451909826,0.132448856312366,782.5236917186941,750.8788507273684,1.0421437372495863,1.7007,-0.0837733002909169,0.0051940078466617,9.34,0.0032,0.3585201043297651,1028.626,GB,England,Greater London,34.0,True,"Hill & Sons, W. E. Firm",Bow maker / Violin maker,1880-1992,Hill & Sons,19.0,False
2006-07-11,745,"Thomassin, Claude Auguste",Violin Bow,Paris,Sotheby's,2006-07-11,210,6635.0,6011.779141104295,5210.0,gbp,2006,7,11,0.6256687122600322,0.5988243938280676,0.670039391364795,1.8424,1.2773,11076.101889570553,2033.712136754741,-0.0109226250094371,-0.0309082429917588,0.0019213896299101,0.1478525865248344,0.1154250679130521,0.1045448442512659,2039.4852747118764,2057.11158959747,0.9914315222495818,1.8424,0.0509383378016086,0.0061825794227827,5.1,0.0035999999999999,-8.200768705311615,1023.8645,FR,Île-de-France,Paris,59.0,True,"Thomassin, Claude Auguste",Bow maker,1865-1942,Thomassin,19.0,False
1986-05-21,1496,Neuner & Hornsteiner,Violin,Mittenwald,Phillip's,1986-05-21,197,367.0,741.757858157913,,gbp,1986,5,21,0.3348173108850983,0.326252020573108,,1.5165,,1124.875791896475,703.219305853165,0.0044978582550483,0.1463015104403984,0.2233214367339886,0.1306693111694286,0.1314745320811947,0.1163844252169545,708.1747210918536,624.7151840851461,1.133596139701532,1.5165,0.0403375180078204,0.0074599259811738,7.9,-0.0141,2.743984422117552,1003.3173,DE,Bavaria,Upper Bavaria,1.0,False,Neuner & Hornsteiner,Violin maker,b. 1850,Neuner & Hornsteiner,19.0,False
1978-06-22,155,"Deconet, Michele",Violin,Venice,Sotheby's,1978-06-22,-,19005.0,62010.53929852284,,gbp,1978,6,22,0.2004599510533371,0.1667458486407053,,1.8415,,114192.4081182298,480.0958862758706,-0.007435903144273,0.033218651049937,-0.1081259452578113,0.1217879687430007,0.1176689255492235,0.1045204134356126,489.1269463283443,482.4737679563899,1.0137897204238382,1.8415,-0.0484679377874232,0.0030542376773723,8.5,0.004,-2.077699237037283,925.6213,IT,Veneto,Provincia di Venezia,14.0,True,"Deconet, Michele",Violin maker,c. 1712-1799,Deconet,18.0,False
