sale_date,maker_id,maker_name,type,city_maker,auction_house,sale_date.1,lot,usd,gbp,eur,bold_currency,Year,Month,Day,cpi_usd,cpi_gbp,cpi_eur,gbp_usd_x,eur_usd,price_usd_real,SP500_real,SP500_30d_ret,SP500_90d_ret,SP500_252d_ret,SP500_vol_30d,SP500_vol_90d,SP500_vol_252d,SP500_ma50,SP500_ma200,SP500_trend_ratio,gbp_usd_y,gbp_90d_change,gbp_vol_30d,10y_yield_pc,10y_yield_90d_change,MCI,real_price_gold,country_iso1,admin1_name,admin2_name,candidate_count,is_ambiguous,maker_name_maker,role,date,maker_last_name,birth_cent,location_filled
2022-03-29,1309,"Martin, Jean-Joseph",Violin Bow,Mirecourt,Ingles & Hayday,2022-03-29,77,5516.0,4906.609442060086,4956.0,gbp,2022,3,29,0.8839422970496723,0.8559882439382807,0.8840658067505985,1.3136,1.1091,6445.322163090129,5239.7086474027865,0.0383733164699837,-0.045005090610335,0.0779416974397368,0.2448044125208407,0.2065961209275516,0.150691662446961,5037.873335600456,5243.15035902614,0.9608485339215388,1.3136,-0.025302366995622,0.0056352589874162,2.41,0.0074,-10.131879903423728,2171.1656,FR,Grand Est,Vosges,2.0,True,"Martin, Jean-Joseph",Bow maker,1837-1910,Martin,19.0,False
2013-04-28,167,"Eberle, Tomaso",Violin,Naples,Skinner,2013-04-28,50,46997.89361418478,21722.0,25786.0,usd,2013,4,28,0.7149256576439191,0.7200587803085966,0.7686722792925001,1.5492,1.3028,46997.89361418478,2213.1531765816644,0.0132141022908134,0.1052102254715139,0.1411301978800363,0.1285759238794206,0.11627284084723,0.1285583811805939,2167.7753397726656,2052.4168139657454,1.0562061882469287,1.5492,-0.0388981946770893,0.0042541743133781,1.7,-0.0007,-0.5063067526934412,2045.6672,IT,Campania,Napoli,14.0,True,"Eberle, Tomaso",Violin maker,1725,Eberle,18.0,False
2005-05-25,177,"Fiorini, Giuseppe",Violin,Munich,Christie's,2005-05-25,103,48344.0,45252.39294710327,38478.0,gbp,2005,5,25,0.5976904062081094,0.5833945628214549,0.6538966555958909,1.8309,1.2599,82852.60624685137,1991.0140725117749,0.0148614831069457,-0.0144863547702931,0.0399948523846884,0.1400600593687857,0.1163487114440514,0.1085115932045496,1961.769828058794,1973.161318979125,0.9942267817584094,1.8309,-0.0200706486833655,0.0046790017062859,4.08,-0.0012,-2.0091124247084697,701.3665,DE,Bavaria,Upper Bavaria,,False,"Fiorini, Giuseppe",Violin maker,1861-1934,Fiorini,19.0,True
2000-05-07,495,"Nürnberger, Albert",Violin Bow,Markneukirchen,Skinner,2000-05-07,101,5234.376209912537,1805.0,3072.0,usd,2000,5,7,0.5272834602093146,0.5400440852314475,0.5834556267861282,1.5272,0.8971,5234.376209912537,2717.001599697636,-0.0636566802467166,-0.0355098697940564,0.0322351731887819,0.2832638253013694,0.2595676327806138,0.207232083081118,2741.8792878271174,2668.75658555934,1.0273995397944666,1.5272,-0.0494803012385636,0.0043948255394189,6.51,0.0005999999999999,-1.6055485419320892,528.5582,DE,Saxony,,,False,"Nürnberger, Albert",Bow maker,,Nürnberger,,True
1983-06-23,2827,"Collin-Mézin, Charles Jean-Baptiste III",Violin,Paris,Sotheby's,1983-06-23,424,983.0,2254.326826218708,,gbp,1983,6,23,0.3059166430952,0.2830113152094048,,1.5415,,3475.0448026161384,557.5702112785608,0.0308906339345156,0.1268863310894386,0.523587407716303,0.1145211381355181,0.1301930581309587,0.1836558547903292,537.4843945965335,485.35292092049497,1.107409415765272,1.5415,-0.0032331070158421,0.006858107442065,10.9,0.0018999999999999,2.6424010458146387,1374.5574,FR,Île-de-France,Paris,59.0,True,"Collin-Mézin, Charles Jean-Baptiste III",Violin maker,b. 1910,Collin-Mézin,20.0,False
2004-05-06,1567,"Bernardel, René",Violin,Paris,Tarisio,2004-05-06,288,6429.360000000001,2083.0,3085.0,usd,2004,5,6,0.5813953488372092,0.5723732549595886,0.6411523905151774,1.7944,1.208,6429.360000000001,1916.062783203125,0.0115870705430694,-0.0092863994183696,0.1628410962920152,0.1222456823264657,0.1184944048711804,0.1298924309223345,1954.53780079986,1885.250685427653,1.0367522027217777,1.7944,0.0116705192535377,0.008100488711037,4.63,0.00305,-1.894062801115632,666.328,FR,Île-de-France,Paris,59.0,True,"Bernardel, René",Violin maker,1905-1979,Bernardel,20.0,False
2004-05-02,266,"Heberlein, Heinrich Theodore",Violin,Markneukirchen,Skinner,2004-05-02,217,4446.200000000001,1457.0,2164.0,usd,2004,5,2,0.5813953488372092,0.5723732549595886,0.6411523905151774,1.7735,1.1973,4446.200000000001,1915.6997631991767,-0.0165316796233847,-0.0028958468176853,0.1795214894480261,0.1303075478167361,0.1181020243452054,0.1308795834913364,1960.2634314497093,1881.646113219964,1.041781139225597,1.7735,0.0062982296867908,0.0082112946376132,4.53,0.0036,-1.451862075072047,669.8807,DE,Saxony,,2.0,True,"Heberlein, Heinrich Theodore",Violin maker,,Heberlein,,False
2022-03-29,495,"Nürnberger, Albert",Violin Bow,Markneukirchen,Ingles & Hayday,2022-03-29,66,7879.0,7009.4420600858375,7079.0,gbp,2022,3,29,0.8839422970496723,0.8559882439382807,0.8840658067505985,1.3136,1.1091,9207.603090128758,5239.7086474027865,0.0383733164699837,-0.045005090610335,0.0779416974397368,0.2448044125208407,0.2065961209275516,0.150691662446961,5037.873335600456,5243.15035902614,0.9608485339215388,1.3136,-0.025302366995622,0.0056352589874162,2.41,0.0074,-10.131879903423728,2171.1656,DE,Saxony,,2.0,True,"Nürnberger, Albert",Bow maker,,Nürnberger,,False
1995-06-20,1312,"Lambert, Jean Nicolas",Violin,Paris,Bonhams,1995-06-20,42,2645.0,3361.751497005988,,gbp,1995,6,20,0.468867216804201,0.4908155767817781,,1.6037,,5391.240875748503,1162.33330234375,0.038071352574067,0.1230182948022751,0.1718407592664301,0.100903356089133,0.0802709670848385,0.0881789932752412,1117.626799347413,1044.1059206290688,1.0704151535450046,1.6037,0.0327794951056157,0.0060671890524421,6.16,-0.0134999999999999,6.489209351369102,832.6451,FR,Île-de-France,Paris,59.0,True,"Lambert, Jean Nicolas",Violin maker,1708-1759,Lambert,18.0,False
2001-11-09,1384,"Lamy, Joseph Alfred père",Violin Bow,Mirecourt,Tarisio,2001-11-09,FB 6,12375.710259301017,4632.0,7559.0,usd,2001,11,9,0.5454232410561657,0.550330639235856,0.6025334054221055,1.4579,0.8941,12375.710259301017,2054.0196571461915,0.0817086185539202,-0.0832660237826182,-0.2293560176353251,0.188287642596893,0.2168669125104133,0.2271615342567839,1973.0233958298195,2191.742969163892,0.9002074712175264,1.4579,0.04172918899607,0.0053400335364124,4.34,-0.0107,2.161291717217931,508.2292,FR,Grand Est,Vosges,2.0,True,"Lamy, Joseph Alfred père",Bow maker,1850-1919,Lamy,19.0,False
1986-06-12,3763,"Barzoni, François",Violin,London,Phillip's,1986-06-12,61,570.0,1146.3530535167747,,gbp,1986,6,12,0.3366620343610492,0.326252020573108,,1.5277,,1751.2835598575768,717.306915677284,0.0169206512745945,0.1266074046254794,0.2648567090395994,0.1405650203175986,0.1391653117953033,0.1214979188336344,714.4924822724792,636.7616160386544,1.122072160563626,1.5277,0.0845520374840267,0.007777698719994,7.98,-0.0104999999999999,1.6966298659221857,1020.3645,GB,England,Greater London,34.0,True,"Barzoni, François",,c. 1880-1920,Barzoni,19.0,False
2005-11-04,1521,"Hoyer, Otto A.",Cello Bow,Markneukirchen,Tarisio,2005-11-04,401,2650.0795546558707,919.0,1349.0,usd,2005,11,4,0.6075289314131811,0.5878030859662013,0.6590715995983626,1.7498,1.1811,2650.0795546558707,2008.3652836256765,0.0100879068912418,0.0009569249376326,0.0113330867268135,0.1332667659481742,0.108512514945355,0.1062939797353584,1980.2295790704368,1998.436451638442,0.9908894413164464,1.7498,-0.0238214783821477,0.0058939138248037,4.66,0.006,-5.303009899165358,750.9107,DE,Saxony,,2.0,True,"Hoyer, Otto A.",Bow maker,1889-1966,Hoyer,19.0,False
2018-02-22,413,"Maline, Nicolas I",Viola Bow,Mirecourt,Tarisio,2018-02-22,37,13872.6951576563,7623.0,8615.0,usd,2018,2,22,0.7655325716675071,0.7707567964731815,0.7861280605545686,1.3937,1.233,13872.6951576563,3532.1292143685664,-0.0216394294180862,0.0500792739098023,0.1196146914696993,0.2144037625514202,0.1318311418000241,0.0969896142259535,3581.746087645968,3368.892973027392,1.0631819165294825,1.3937,0.0493148622195451,0.0068164203350265,2.92,0.0058999999999999,-6.489712147443981,1739.2207,FR,Grand Est,Vosges,,False,"Maline, Nicolas I",Bow maker,1822-1877,Maline,19.0,True
1986-11-11,1374,"Hornsteiner, Joseph",Violin,Mittenwald,Christie's,1986-11-11,169,3000.0,6309.321303621933,,gbp,1986,11,11,0.3394291195749757,0.3312559147685525,,1.4385,,9075.95869526015,727.928122785817,0.066195682703765,0.0041620963787474,0.2315566371325828,0.0888070858805952,0.1518100941258273,0.1439233512025914,704.201773647496,704.9856923024885,0.9988880360785306,1.4385,-0.0639031691286523,0.0051209719023361,7.365,-0.00075,0.59179566238523,1189.7683,DE,Bavaria,Upper Bavaria,1.0,False,"Hornsteiner, Joseph",Violin maker,,Hornsteiner,,False
1984-03-29,8569,"Knight, Frank R.",Violin,,Phillip's,1984-03-29,86,192.0,452.35654615458407,,gbp,1984,3,29,0.3154477143876132,0.2918052167523879,,1.4515,,656.5955267433787,505.6939613024022,0.0189379142300194,-0.0469239715028962,-0.0048865651024954,0.1377361366325354,0.1193383935574264,0.1255143502316595,503.9930371631446,528.0018700530121,0.954528886635464,1.4515,-0.0111724231895905,0.0056023310494779,12.41,0.0083999999999999,-4.5812235727873,1236.972,,,,,False,"Knight, Frank R.",,b. 1870,Knight,19.0,False
2004-10-22,107,"Carletti, Genuzio",Violin,Pieve di Cento,Tarisio,2004-10-22,521,45065.03614457831,14472.0,20982.0,usd,2004,10,22,0.5869295192650622,0.573842762674504,0.6446280991735537,1.8264,1.268,45065.03614457831,1866.9021650272969,-0.0301800093748221,-0.0394402612571732,0.0305862118043651,0.0992970517638333,0.1029999609148457,0.1105730933541043,1901.8855437899408,1931.4591397367449,0.9846884692829512,1.8264,-0.0036550106377174,0.0049881255840567,4.0,-0.0071999999999999,2.287301457085906,722.3184,IT,Emilia-Romagna,Bologna,2.0,True,"Carletti, Genuzio",Violin maker,1905-1996,Carletti,20.0,False
2003-05-08,1103,"Pfretzschner, F.C.",Viola Bow,,Bonhams,2003-05-08,202,443.0,489.10937500000006,387.0,gbp,2003,5,8,0.5641779297283337,0.5642909625275532,0.6256275585077624,1.6003,1.1493,782.7217328125001,1631.1698332020603,0.0618777784940214,0.036361373082383,-0.17186555862192,0.1813877339747214,0.2209989389258866,0.2726954171411315,1545.9954479510209,1574.648038465412,0.981803812779448,1.6003,-0.0007492975335622,0.0052435749985408,3.7,-0.0037,0.2295864147357442,616.8267,,,,,False,"Pfretzschner, F.C.",–,,Pfretzschner,,False
2020-03-23,1460,"Taylor, Malcolm",Viola Bow,Barnstaple,Brompton's,2020-03-23,140,1254.0,1353.4806629834254,1161.0,gbp,2020,3,23,0.7935846666584679,0.7979426891991183,0.8120027805669267,1.1492,1.0744,1555.4199779005526,2819.3587859562963,-0.3261792218867683,-0.2777678686887852,-0.2132419445806557,0.7097369921137936,0.4242018397918144,0.2742347503872335,3894.89189979455,3839.678308366709,1.0143797440810418,1.1492,-0.1049147129838772,0.0097148955080327,0.76,-0.0105,-1.3536055374525389,1957.0248,GB,England,Devon,,False,"Taylor, Malcolm",Bow maker,1933-2012,Taylor,20.0,True
2007-02-27,44,"Bazin, Charles Alfred",Violin Bow,Mirecourt,Sotheby's,2007-02-27,143,3775.0,3171.26213592233,2853.0,gbp,2007,2,27,0.6256656377209056,0.6054371785451874,0.6725882443809377,1.9656,1.3243,6233.432854368932,2236.0825890306896,-0.0273535076456068,0.013366459330887,0.0594194525598887,0.1226470329384002,0.0919307032163125,0.1024054498773626,2297.60581398004,2155.384006620968,1.0659844403234835,1.9656,0.0478729075594412,0.0042660157875405,4.5,-0.0033,2.5001406947919618,1085.2442,FR,Grand Est,Vosges,,False,"Bazin, Charles Alfred",Bow maker,1907-1987,Bazin,20.0,True
2004-05-02,1723,"Copley, Arthur Henry",Violin Bow,London,Skinner,2004-05-02,115,3840.7600000000007,1258.0,1869.0,usd,2004,5,2,0.5813953488372092,0.5723732549595886,0.6411523905151774,1.7735,1.1973,3840.7600000000007,1915.6997631991767,-0.0165316796233847,-0.0028958468176853,0.1795214894480261,0.1303075478167361,0.1181020243452054,0.1308795834913364,1960.2634314497093,1881.646113219964,1.041781139225597,1.7735,0.0062982296867908,0.0082112946376132,4.53,0.0036,-1.451862075072047,669.8807,GB,England,Greater London,,False,"Copley, Arthur Henry",Bow maker,1903-1976,Copley,20.0,True
2005-03-09,1450,"Bausch, Ludwig Christian August",Violin Bow,Leipzig,Christie's,2005-03-09,187,693.0,621.7766497461929,519.0,gbp,2005,3,9,0.594308413168866,0.5789860396767083,0.6497258052058392,1.9212,1.3388,1194.5572994923857,2030.948886168076,0.0191413735021823,0.0572836828219311,0.0259421409675146,0.0981707187632443,0.1003805442248449,0.1106474850505725,2031.1089976093544,1958.578746670412,1.037032083117538,1.9212,0.0484610347085789,0.005148120166509,4.52,0.0042999999999999,0.170724203646237,740.777,DE,Saxony,,,False,"Bausch, Ludwig Christian August",Bow maker / Violin maker,1805-1871,Bausch,19.0,True
1985-12-01,2908,"Ohberg, Johann",Cello,Stockholm,Sotheby's,1985-12-01,52,4750.0,9961.049124632016,,gbp,1985,12,1,0.3360471265357322,0.320247391623806,,1.4904,,14845.947615351555,603.2678554536312,0.0743555528451285,0.0384018190055082,0.1915523304945312,0.0895069498102557,0.0990667978405183,0.1018264697243539,568.5952958731359,563.6061359472315,1.0088522100944115,1.4904,0.0610094682138533,0.0044442658145138,9.59,-0.01,2.662479376572044,979.9335,SE,Stockholm,Stockholms Kommun,10.0,True,"Ohberg, Johann",Violin maker,,Ohberg,,False
1992-07-03,2827,"Collin-Mézin, Charles Jean-Baptiste III",Violin,Paris,Christie's,1992-07-03,115,4199.0,4829.354838709677,,gbp,1992,7,3,0.4319727472851819,0.455547391623806,,1.9053,,9201.369774193548,953.2314054567604,-0.0143590920018307,-0.0103506952059061,0.0670653073007008,0.0958143747859568,0.1045193468600783,0.1183447595775972,956.195985543225,943.769244228514,1.0131671395213449,1.9174,0.0975386376645677,0.0051759876861585,6.93,-0.0041999999999999,1.8733389176242536,800.9765,FR,Île-de-France,Paris,59.0,True,"Collin-Mézin, Charles Jean-Baptiste III",Violin maker,b. 1910,Collin-Mézin,20.0,False
1981-03-27,187,"Gagliano, Alessandro",Violin,Naples,Sotheby's,1981-03-27,-,23709.0,44353.09578009497,,gbp,1981,3,27,0.2720967127027658,0.2401410727406319,,2.2295,,98885.22704172172,494.8607888680151,0.0490830644825053,-0.055640019428514,0.2407824677064058,0.1455710108918916,0.1637143636650428,0.1609424201661426,483.9877555444695,488.8562369617519,0.990041077418711,2.2295,-0.0700729927007299,0.0094021481372421,13.36,0.0055999999999999,-2.126409418948502,1979.9945,IT,Campania,Napoli,14.0,True,"Gagliano, Alessandro",Violin maker,1665-1732,Gagliano,17.0,False
2021-06-08,1774,"Bachmann, Anton",Violin,Berlin,Ingles & Hayday,2021-06-08,124,27118.0,23457.09156193896,22259.0,gbp,2021,6,8,0.8353399825366178,0.8185157972079354,0.8318529389047656,1.415,1.2173,33191.78456014362,5060.52607800285,-0.0077810862989177,0.0745946632595744,0.2408800733389107,0.1250948306720537,0.1354875377484766,0.1684977967240406,5030.368678636031,4655.249369085409,1.0805798529380006,1.415,0.032545242265032,0.0035874008421871,1.53,0.0040999999999999,0.829874667308553,2265.9276,DE,State of Berlin,,146.0,True,"Bachmann, Anton",Violin maker,1716-1800,Bachmann,18.0,False
2009-06-22,1412,"Cocker, Lawrence",Violin Bow,Derby,Brompton's,2009-06-22,117,333.0,315.1464245175937,241.0,gbp,2009,6,22,0.6631565678304823,0.6473181484202791,0.7105120877423341,1.6394,1.3858,516.6510483541431,1346.650280414059,-0.0471312674931002,0.0537443770221623,-0.312584091589342,0.2376512316149475,0.348826253027896,0.4525175174462534,1363.913023017223,1370.230030630487,0.995389819612728,1.6394,0.1159972770592239,0.0083506945455283,3.72,0.00955,-0.5043985763153978,1390.1694,GB,England,Derby,,False,"Cocker, Lawrence",Bow maker / Violin maker,1908-1982,Cocker,20.0,True
2004-10-17,1626,"Hill & Sons, W. E. Firm",Violin Bow,London,Skinner,2004-10-17,93,4204.9341854374015,1367.0,1988.0,usd,2004,10,17,0.5869295192650622,0.573842762674504,0.6446280991735537,1.8054,1.2467,4204.9341854374015,1888.13122325068,-0.0142315099659381,-0.0358492186870548,0.0259750607137483,0.0954800958287654,0.1033528483916656,0.1112346997892969,1897.2381283565223,1933.5650489680777,0.981212465217582,1.8054,-0.013496530244249,0.0051694271690432,4.07,-0.0077999999999999,1.91651884203498,712.9476,GB,England,Greater London,34.0,True,"Hill & Sons, W. E. Firm",Bow maker / Violin maker,1880-1992,Hill & Sons,19.0,False
1994-06-23,1626,"Hill & Sons, W. E. Firm",Cello Bow,London,Phillip's,1994-06-23,257,2305.0,3125.491551459293,,gbp,1994,6,23,0.4550317907345689,0.4783247612049963,,1.5385,,4808.568751920123,988.1287726225984,0.0149969297336876,-0.0521065143566303,-0.0177487268500194,0.0784293621238726,0.1039020611169603,0.0872253584712442,996.309881450991,1025.0871849685082,0.9719269697841348,1.5385,0.0489534328765255,0.0034096421236078,7.1,0.0109999999999999,-4.338086656411056,856.2039,GB,England,Greater London,34.0,True,"Hill & Sons, W. E. Firm",Bow maker / Violin maker,1880-1992,Hill & Sons,19.0,False
2005-09-12,101,"Candi, Cesare",Violin,Genoa,Bonhams,2005-09-12,97,1751.0,1635.244055068836,1422.0,gbp,2005,9,12,0.6112183783650831,0.5870683321087437,0.6588398856878042,1.8222,1.2283,2979.741717146433,2029.651107533875,-0.0120215984695555,0.0318572446993863,0.0525856385679683,0.0969884212603376,0.0911869366473671,0.1042651358596509,2028.5861116931555,2011.122703362996,1.0086834126535178,1.8222,-0.04326367741258,0.0058634158234725,4.18,-0.0011,1.1486164366992502,734.5983,IT,Liguria,Provincia di Genova,21.0,True,"Candi, Cesare",Violin maker,1869-1947,Candi,19.0,False
1990-03-28,1626,"Hill & Sons, W. E. Firm",Violin Bow,London,Christie's,1990-03-28,264,985.0,1550.668549905838,,gbp,1990,3,28,0.3956931855914798,0.3901542983100661,,1.6285,,2525.2637335216573,864.306013986014,0.0275508169562883,-0.017677333519853,0.1110112785414381,0.1186257911487587,0.1283594072012472,0.1359860939898372,846.6999237131735,878.1045743011391,0.9642358649447194,1.6285,0.0385841836734692,0.0059776784131826,8.51,0.007,-2.601768306211183,932.7934,GB,England,Greater London,34.0,True,"Hill & Sons, W. E. Firm",Bow maker / Violin maker,1880-1992,Hill & Sons,19.0,False
1987-06-25,824,"Widhalm, Leopold I",Violin,Nürnberg,Phillip's,1987-06-25,74,1454.0,2653.4933902698767,,gbp,1987,6,25,0.3489601908673889,0.3399292432035268,,1.6125,,4278.758091810177,885.3731730462298,0.0472519700821847,0.06409325849771,0.1983256694694923,0.1545151426918561,0.1661085637591941,0.1590775732408323,841.3437033064897,782.673120067562,1.0749617966103948,1.6125,0.0608552631578946,0.0079740769790649,8.25,0.0101999999999999,-7.128635250734277,1262.7887,DE,Bavaria,Regierungsbezirk Mittelfranken,2.0,True,"Widhalm, Leopold I",Violin maker,1722-1776,Widhalm,18.0,False
2016-05-22,518,"Parravicini, Piero",Violin,Milan,Skinner,2016-05-22,162,26645.24000016651,13569.0,17536.0,usd,2016,5,22,0.73859345984037,0.7406318883174137,0.7769367421024176,1.4515,1.1224,26645.24000016651,2778.687031432606,-0.0017335941803101,0.0440178112543554,-0.0465589162773235,0.0974056711004105,0.1531297624871032,0.1660923253359825,2801.402674158113,2749.4142979257635,1.0189088913488122,1.4515,0.0103717109842682,0.0053410499346162,1.85,-0.0017999999999999,2.090976608714113,1694.992,IT,Lombardy,Città metropolitana di Milano,46.0,True,"Parravicini, Piero",Violin maker,1889-1957,Parravicini,19.0,False
2006-07-11,548,"Pistucci, Giovanni",Violin,Naples,Sotheby's,2006-07-11,54,37599.0,34066.74846625767,29522.0,gbp,2006,7,11,0.6256687122600322,0.5988243938280676,0.670039391364795,1.8424,1.2773,62764.57737423313,2033.712136754741,-0.0109226250094371,-0.0309082429917588,0.0019213896299101,0.1478525865248344,0.1154250679130521,0.1045448442512659,2039.4852747118764,2057.11158959747,0.9914315222495818,1.8424,0.0509383378016086,0.0061825794227827,5.1,0.0035999999999999,-8.200768705311615,1023.8645,IT,Campania,Napoli,14.0,True,"Pistucci, Giovanni",Violin maker,1864-1955,Pistucci,19.0,False
2022-12-01,543,"Piernot, Marie Louis",Violin Bow,Paris,Vichy-Enchères,2022-12-01,42,4437.0,3610.0,4529.086624626618,eur,2022,12,1,0.912513989153026,0.9206465833945628,0.9308720166834016,1.2267,1.0524,4766.410763757052,4467.405559604792,0.1077351047698904,0.0378378168126145,-0.1514799616426854,0.2594939156265095,0.2491694598944139,0.242082680155028,4158.118078085709,4482.535307997769,0.9276263972013266,1.2267,0.0185154433742942,0.0128238533702166,3.53,0.0084999999999999,-6.637328052895183,1975.7396,FR,Île-de-France,Paris,59.0,True,"Piernot, Marie Louis",Bow maker,1880-1959,Piernot,19.0,False
2023-06-01,1263,"Mast, Joseph Laurent",Violin,Toulouse,,2023-06-01,,2529.0,2020.0,2470.889590927501,eur,2023,6,1,0.9380695583731996,0.9507714915503308,0.9535027419479416,1.2524,1.076,2658.677199837992,4499.687663728629,0.0101925186423079,0.0296150979617249,-0.0213910179772707,0.1373099483611496,0.1459453434374647,0.2097779752384087,4409.700564821288,4314.124529639013,1.022154213334744,1.2524,0.0133505947083096,0.004365735102843,3.61,0.0011999999999999,6.20497654653437,2108.4525,FR,Occitanie,Upper Garonne,,False,"Mast, Joseph Laurent",Violin maker,,Mast,,True
1986-03-18,270,"Heinicke, Mathias",Violin,Wildstein,Christie's,1986-03-18,110,877.0,1841.3893386127927,,gbp,1986,3,18,0.3345098569724398,0.3225825128581925,,1.4722,,2710.8933843057544,704.8521706154768,0.107045892387575,0.2254276023354164,0.3035897955069817,0.1148178308297134,0.1263724896348751,0.106942552134235,647.2178508476376,594.8468211742866,1.0880412028931503,1.4722,0.0356665494196271,0.0094702211841835,7.83,-0.0191,4.018427930141878,1049.5954,DE,Bavaria,Upper Palatinate,,False,"Heinicke, Mathias",Violin maker,b. 1871,Heinicke,19.0,True
1992-05-17,971,"Wolff, Brothers",Violin,Kreuznach,Skinner,1992-05-17,126,2561.0393700787404,605.0,,usd,1992,5,17,0.4295131159839139,0.4570168993387216,,1.8235,,2561.0393700787404,954.7787508152584,0.022479139606911,-0.030391812922051,0.0689181012132325,0.1286529907433183,0.1096443358824431,0.1220167333634731,953.59825741116,939.1242003882217,1.0154122926626268,1.8235,-0.029278679797711,0.0048116752602393,7.28,0.0043,-0.5040643126848875,787.8688,DE,Rheinland-Pfalz,,1.0,False,"Wolff, Brothers",,1879-1900,Wolff,19.0,False
2018-10-29,357,"Lanaro, Umberto",Viola,Padua,Tarisio,2018-10-29,41,9226.0,9183.880037488285,8104.0,gbp,2018,10,29,0.7775048270264286,0.7839823659074211,0.8085270719085503,1.2806,1.1373,11760.876776007495,3397.085018882101,-0.0873055519748791,-0.0428649246443304,-0.0018618501600343,0.1879253227744505,0.1287847249792014,0.1404466976092717,3673.447514566507,3582.206126545017,1.0254707252453643,1.2806,-0.0351115129596142,0.0044955319892596,3.08,0.0020999999999999,-2.1694233635343,1581.1477,IT,Veneto,Provincia di Padova,,False,"Lanaro, Umberto",Violin maker,1930-2023,Lanaro,20.0,True
1995-12-14,179,"Forster, William II or Sr",Violin,London,Phillip's,1995-12-14,116,4430.0,5796.851851851851,,gbp,1995,12,14,0.4719417559307859,0.4959588537839824,,1.5393,,8923.094055555553,1307.1951679576166,0.0566600187189578,0.096573017421963,0.3213152842427138,0.0808801852383404,0.0727319341911982,0.0770585753498983,1259.959374586258,1176.378379621211,1.0710494143831168,1.5393,-0.0379375,0.0040008824154512,5.74,-0.0076999999999999,4.033346750346518,817.8975,GB,England,Greater London,34.0,True,"Forster, William II or Sr",Violin maker,1739-1808,Forster,18.0,False
2004-04-29,947,"Prager, August Edwin",Cello Bow,Schönlind,Christie's,2004-04-29,110,1136.6519361702128,370.0,556.0,usd,2004,4,29,0.5780133557979659,0.5701689933872152,0.6390669653201514,1.7765,1.1959,1136.6519361702128,1927.1008247044344,-0.0119376671710067,0.0025594092071548,0.1876775051505734,0.1293287959709305,0.1176811276627726,0.1307116827827314,1962.022860264967,1880.8585271123632,1.0431528113266515,1.7765,0.0051488061559352,0.0082300738749258,4.55,0.0036499999999999,-1.3139566851775726,670.3997,DE,Bavaria,Upper Franconia,8.0,True,"Prager, August Edwin",Bow maker,1875-1956,Prager,19.0,False
2000-11-13,1292,"Tubbs, James",Violin Bow,London,Phillip's,2000-11-13,218,1324.0,1692.054054054054,1536.0,gbp,2000,11,13,0.5352772619384354,0.5437178545187362,0.5905615200432532,1.4392,0.8568,2435.2041945945944,2524.4113767736308,-0.0597022148431186,-0.0931299170931707,-0.0632148344034569,0.2383587447359886,0.1734767656266322,0.2088114229097127,2659.2617611973124,2721.8964160407468,0.9769885971874924,1.4392,-0.0502210783343233,0.0059068562711519,5.77,-0.0027,-1.1750968397729789,493.576,GB,England,Greater London,34.0,True,"Tubbs, James",Bow maker,1835-1921,Tubbs,19.0,False
1988-06-22,1626,"Hill & Sons, W. E. Firm",Violin Bow,London,Sotheby's,1988-06-22,197,1750.0,2795.414937759336,,gbp,1988,6,22,0.3627956169370211,0.3541513592946363,,1.7725,,4954.872977178423,759.8217585687153,0.0654916466180044,0.0518487562559832,-0.135933133831182,0.1826901180423312,0.1730679333787214,0.3332705730158206,724.5540418292618,737.8029178913199,0.9820427979602953,1.7725,0.0068162453848339,0.0055475821350588,8.9,0.0058,-0.5027438142095628,1238.7746,GB,England,Greater London,34.0,True,"Hill & Sons, W. E. Firm",Bow maker / Violin maker,1880-1992,Hill & Sons,19.0,False
2013-06-26,359,"Landolfi, Carlo Ferdinando",Violin,Milan,Tarisio,2013-06-26,214,119768.0,108324.48979591836,91960.0,gbp,2013,6,26,0.7179171842140862,0.7200587803085966,0.7702942766664093,1.5339,1.3011,166158.9348979592,2233.2102434917138,-0.0308530985669669,0.0488772378648258,0.180219846316441,0.1527264341933963,0.132539798871098,0.1249472020935383,2259.659338780539,2117.667591299646,1.0670510084133416,1.5339,-0.0121079410059895,0.0053556291839453,2.55,0.0052999999999999,-2.810087193184404,1706.6592,IT,Lombardy,Città metropolitana di Milano,46.0,True,"Landolfi, Carlo Ferdinando",Violin maker,c. 1710-1784,Landolfi,18.0,False
2014-10-28,1626,"Hill & Sons, W. E. Firm",Violin Bow,London,Ingles & Hayday,2014-10-28,30,4261.0,3589.4505494505497,3336.0,gbp,2014,10,28,0.7299970484424384,0.7354886113152094,0.772843129682552,1.6156,1.2732,5799.116307692308,2719.257636813102,-0.0044674655354688,0.0151757762993558,0.1080766475946959,0.1677845387028474,0.1188595498628928,0.1113290357855928,2691.252968248148,2619.4527013788443,1.0274104078426416,1.6156,-0.0500940733772343,0.0043356464826368,2.3,-0.0029,-0.3036179968232944,1681.7876,GB,England,Greater London,34.0,True,"Hill & Sons, W. E. Firm",Bow maker / Violin maker,1880-1992,Hill & Sons,19.0,False
